0_datetime,1_Pickup11,2_Fuel_eff,3_ME_tot_FL,4_Nav_02,5_Nav_03,6_Nav_04,7_Fuel_Index,8_MSB0-TOT-LOD,9_MS114,10_MW014,11_Trim_in_meters,12_LIST,13_ballast,14_ECDIS_COG,15_Uwind,16_Vwind,17_Gust,18_Significant_wave_height,19_Wave_direction,20_Wave_period,21_struja_smjer_deg,22_struja_brzina,23_sea,24_swell,25_wind,26_wind_deg_ecdis,27_Prop_slip
12/31/2016 16:17,70.48908538,168.120155,1140.642303,0.522243714,178.7234043,4.236641221,74.19847328,1524.17795,28.21083172,15.27770102,-0.324324324,-0.315169936,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 16:22,71.23514783,168.120155,1182.724252,0.522243714,178.7234043,4.236641221,77.17557252,1524.17795,28.21083172,15.20309478,-0.358521787,-0.27980105,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 16:27,71.85686654,168.5354374,1227.390181,0.522243714,178.7234043,4.236641221,77.17557252,1524.17795,28.26305609,15.20309478,-0.378378378,-0.291295938,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 16:40,70.98646035,170.0581395,1167.44186,0.522243714,178.7234043,4.236641221,77.86259542,1524.17795,28.41972921,15.20309478,-0.428571429,-0.285990605,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 16:46,70.11605416,171.0271318,1167.44186,0.522243714,178.7234043,4.236641221,76.48854962,1524.17795,28.41972921,15.20309478,-0.428571429,-0.287759049,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 16:51,69.18762089,169.5736434,1014.396456,0.522243714,178.7234043,4.236641221,74.10687023,1543.520309,28.41972921,15.20309478,-0.405405405,-0.244432164,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 16:58,64.56203371,173.9341085,936.6925065,0.522243714,178.7234043,4.236641221,64.80916031,1539.651838,28.41972921,15.20309478,-0.393822394,-0.223210832,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 17:03,66.98259188,172.4806202,1050.387597,0.522243714,178.7234043,4.236641221,73.51145038,1535.783366,28.4893617,15.20309478,-0.305019305,-0.269632495,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 17:12,64.06465875,174.9031008,839.4241418,0.522243714,178.7234043,4.236641221,61.50490731,1535.783366,28.61121857,15.20309478,-0.356867071,-0.247969052,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 17:17,61.08040895,174.9031008,767.4418605,0.522243714,178.7234043,4.236641221,57.70992366,1524.17795,28.7040619,15.20309478,-0.312741313,-0.25106383,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
